,Game,Players,Hours,Percent Play,Rank,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
261,Axiom Verge,4.0,30.299999999999997,0.0003524229074889868,9529.0,Action,,PC,Thomas Happ Games,Thomas Happ Games,,,0.17,,,,,,2015.0
266,BEEP,8.0,11.399999999999999,0.0007048458149779736,24327.0,Platform,,PC,Unknown,Big Fat Alien,,,,,,,,,2011.0
267,BIT.TRIP BEAT,13.0,21.599999999999998,0.0011453744493392071,7336.0,Misc,,PC,Gaijin Entertainment,Gaijin Games Inc.,7.5,,0.27,,,,,,2010.0
271,BIT.TRIP RUNNER,40.0,73.6,0.003524229074889868,3600.0,Platform,,PC,Gaijin Entertainment,Gaijin Games Inc.,7.0,,0.65,,,,,,2011.0
277,Back to Bed,1.0,1.6,8.81057268722467e-05,23663.0,Puzzle,,PC,Surreal Software,Surreal Software,,,,,,,,,2014.0
289,Ballpoint Universe Infinite,3.0,3.0999999999999996,0.00026431718061674007,23832.0,Misc,,PC,Arachnid Games,Unknown,,,,,,,,,2013.0
290,Banished,87.0,2630.999999999999,0.007665198237885463,918.0,Misc,,PC,Falcom,Unknown,,,2.15,,,,,,2014.0
292,Bardbarian,2.0,13.899999999999999,0.0001762114537444934,23906.0,Misc,,PC,Bulkypix,Unknown,,,,,,,,,2014.0
294,Bastion,107.0,651.9000000000003,0.009427312775330397,708.0,Role-Playing,E10,PC,Warner Bros. Interactive Entertainment,Supergiant Games,8.5,,2.58,,,,,,2011.0
296,Batman Arkham Asylum,6.0,128.4,0.0005286343612334801,862.0,Action,T,PC,Eidos Interactive,Rocksteady Studios,9.3,,2.24,,,,,,2009.0
298,Batman Arkham City,29.0,655.4000000000001,0.002555066079295154,754.0,Action,T,PC,Warner Bros. Interactive,Rocksteady Studios,9.0,,2.47,,,,,,2011.0
300,Batman Arkham Knight,28.0,422.8,0.0024669603524229075,1628.0,Action,M,PC,Warner Bros. Interactive Entertainment,Rocksteady Studios,,,1.4,,,,,,2015.0
301,Batman Arkham Origins,98.0,1951.8,0.008634361233480176,1118.0,Action-Adventure,T,PC,Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment,,,1.85,,,,,,2014.0
306,Battle Brothers,1.0,1.5,8.81057268722467e-05,53061.0,Role-Playing,,PC,Unknown,Overhype Studios,,,,,,,,,2018.0
307,Battle Group 2,1.0,2.6,8.81057268722467e-05,24091.0,Action,,PC,"Merge Interactive, Incorporated",Bane Games,,,,,,,,,2014.0
